Brand Name,Sources,Gyftr Slug(s),Maximize Slug(s),Already Whitelisted?,Matched Whitelist Entry,Guessed Official Website,Confidence,Notes
BlueStone Diamond,Maximize,,bluestone-diamond,No,,bluestone.com,Medium,
Bobbi Brown,Gyftr,bobbi-brown,,No,,bobbibrown.com,Medium,
Boditive,Maximize,,boditive,No,,boditive.com,Verified,Confirmed: Boditive is a Nagaland-based sustainable sanitary pad brand (not a fitness brand as the name might suggest); official site boditive.com matches the GyFTR gift card listing.
Body Craft (Clinic),Maximize,,body-craft-clinic,No,,bodycraft.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Body Craft (Salon),Maximize,,body-craft-salon,No,,bodycraft.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
BookMyShow,Maximize,,bookmyshow,No,,bookmyshow.com,Verified,"Confirmed official ticketing platform; India-facing site is in.bookmyshow.com, a subdomain of bookmyshow.com."
BOTTEGA VENETA- Luxe Gift Card,Gyftr,bottega-veneta,,No,,bottegaveneta.com,Medium,
BPCL SmartDrive Fuel e-voucher,Gyftr+Maximize,-bpcl-,bpcl-smartdrive-fuel,No,,bharatpetroleum.in,Low,BPCL's fuel program — please confirm exact URL
BrainGymJr,Gyftr+Maximize,braingymjr,braingymjr-gift-voucher,No,,braingymjr.com,Verified,Confirmed official kids' learning app/subscription site.
Brooks Brothers -Luxe Gift Card,Gyftr+Maximize,luxe-gift-card-brooks-brothers,brooks-brothers-luxe,No,,brooksbrothers.in,Verified,"Confirmed India-specific official storefront, distinct from global brooksbrothers.com."
BuyWithEMI,Maximize,,buywithemi,No,,buywithemi.com,Verified,Confirmed official EMI shopping platform site (WEXPO Technologies).
Cafe Delhi Heights,Gyftr,cafe-delhi-heights,,No,,cafedelhiheights.com,Medium,
CAHOOT,Gyftr,cahoot,,No,,cahoot.in,Verified,"Live site confirms 'Cahoot: India's most Trusted Mens Clothing Brand', operated by Campussutra Retail Pvt Ltd, functional e-commerce with Indian pricing/shipping."
Call it Spring,Gyftr+Maximize,call-it-spring,call-it-spring,No,,callitspring.com,Medium,
Campus,Gyftr+Maximize,campus,campus,No,,campusshoes.com,Verified,Confirmed official Indian footwear brand site (Campus Activewear Ltd).
Canali- Luxe Gift Card,Gyftr,canali--luxe-gift-card,,No,,canali.com,Medium,
Candere Diamond Jewellery,Gyftr+Maximize,candere-diamond-jewellery,candere-diamond-jewellery,No,,candere.com,Verified,Confirmed official site of Candere by Kalyan Jewellers.
Candere Gold Coin,Gyftr+Maximize,candere-gold-coin,candere-gold-coin,No,,candere.com,Verified,Same brand/site as other Candere product lines.
Candere Gold Jewellery,Gyftr+Maximize,candere-gold-jewellery,candere-gold-jewellery,No,,candere.com,Verified,Same brand/site as other Candere product lines.
Cello,Gyftr,cello,,No,,celloworld.com,Verified,Confirmed official site of Cello World Limited (consumerware/kitchenware).
CGH Earth,Maximize,,cgh-earth,No,,cghearth.com,Verified,Confirmed official site of the Kerala-based hotels/resorts group.
CHARLES & KEITH,Gyftr,charles-&-keith,,No,,charleskeith.com,Medium,
Charles and Keith,Maximize,,charles-and-keith,No,,charleskeith.com,Medium,
CHARLES TYRWHITT- Luxe Gift Card,Gyftr,charles-tyrwitt,,No,,charlestyrwhitt.com,Medium,
Chicago Pizza,Gyftr,chicago-pizza,,No,,chicagopizza.in,Medium,
Chumbak,Gyftr+Maximize,chumbak,chumbak,No,,chumbak.com,Medium,
Cinepolis,Gyftr+Maximize,cinepolis,cinepolis,No,,cinepolisindia.com,Verified,"Confirmed India-specific official site for movie ticket booking, distinct from global cinepolis.com."
Citizen Watches,Gyftr+Maximize,citizen-watches,citizen-watches,No,,citizenwatches.co.in,Verified,"Confirmed official Citizen India storefront (.co.in), distinct from global citizenwatch.com."
CLAYCO,Gyftr,clayco,,No,,clayco.in,Verified,Confirmed official site of the Mumbai-based skincare brand Clayco.
Cleartax,Gyftr+Maximize,cleartax,cleartax,No,,cleartax.in,Verified,"Corrected: India tax-filing product is at cleartax.in (the earlier guess cleartax.com is now the global e-invoicing/enterprise product, a different site)."
Cleartrip,Gyftr+Maximize,cleartrip-generic,cleartrip,No,,cleartrip.com,Verified,Confirmed official travel booking site.
Cleartrip Hotels,Maximize,,cleartrip-hotels,No,,cleartrip.com,Verified,"Hotels is a product line within cleartrip.com, no separate domain."
Clovia,Gyftr,clovia,,No,,clovia.com,Verified,Confirmed official lingerie/innerwear brand site.
Coach-Luxe Gift Card,Gyftr,luxe-gift-card-coach,,No,,coach.com,Medium,
ColorPlus,Gyftr+Maximize,colorplus,colorplus,No,,colorplus.abfrl.in,Medium,
Columbia Sportswear,Gyftr+Maximize,columbia-sportswear,columbia-sportswear,No,,columbiasportswear.co.in,Medium,
Cordelia,Gyftr,cordelia,,No,,cordeliacruises.com,Verified,'Cordelia' brand refers to Cordelia Cruises; confirmed official site.
Cordelia Cruises,Maximize,,cordelia-cruises,No,,cordeliacruises.com,Verified,Confirmed official India cruise line site.
Cosmopolitan India,Maximize,,cosmopolitan-india,No,,cosmopolitan.in,Verified,Confirmed official India Today Group-published site for the Indian edition of Cosmopolitan.
Costa Coffee,Gyftr+Maximize,costa-coffee,costa-coffee,No,,costacoffee.co.in,Medium,
Crossword,Gyftr+Maximize,crossword,crossword,No,,crossword.in,Verified,Confirmed official Indian bookstore chain site.
Cult,Maximize,,cult,No,,cult.fit,Verified,Confirmed official fitness/wellness platform site.
Cult Gift Card,Gyftr,cult-gift-card,,No,,cult.fit,Verified,Same underlying brand/site as Cult.
Daily Objects,Gyftr+Maximize,daily-objects,daily-objects,No,,dailyobjects.com,Verified,Confirmed official Indian phone case/accessories brand site.
Decathlon,Gyftr+Maximize,decathlon,decathlon,No,,decathlon.in,Verified,Search confirms decathlon.in is Decathlon's official India storefront.
Decathlon - Fixed,Maximize,,decathlon-fixed,No,,decathlon.in,Medium,
Diesel- Luxe Gift Card,Gyftr,luxe-gift-card-diesel,,No,,dieselindia.com,Verified,Diesel's India-specific official online store; global site is global.diesel.com.
Discord,Gyftr+Maximize,discord,discord,No,,discord.com,Verified,Confirmed as Discord's official global site (no separate India domain).
Discovery Plus,Gyftr+Maximize,discovery-plus,discovery-plus,No,,discoveryplus.in,Verified,Confirmed India-specific streaming domain for Discovery+.
District,Maximize,,district,No,,district.in,Verified,"Confirmed as Zomato's District app/site for movies, dining, events."
DocuBay,Gyftr,docubay,,No,,docubay.com,Verified,Confirmed official documentary streaming site.
DOMINO'S,Gyftr+Maximize,dominos,dominos,No,,dominos.co.in,Verified,"Confirmed India domain (ordering happens at pizzaonline.dominos.co.in, same root domain); operated by Jubilant FoodWorks."
Donatekart,Maximize,,donatekart,No,,donatekart.com,Verified,Confirmed official donation platform domain.
DPauls,Maximize,,dpauls,No,,dpauls.com,Verified,"Same company as DPauls Travel & Tours; confirmed via Gyftr listings and official contact pages, all pointing to dpauls.com."
DPauls Travel & Tours,Gyftr,dpauls-travel-&-tours,,No,,dpauls.com,Verified,Confirmed official travel booking site; company explicitly warns other domains are fraudulent.
Dune London-Luxe,Maximize,,dune-london-luxe,No,,dunelondon.com,Medium,
Dune-Luxe Gift Card,Gyftr,luxe-gift-card---dune,,No,,dune.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
DUROFLEX,Gyftr+Maximize,duroflex,duroflex,No,,duroflexworld.com,Verified,"Actual official domain is duroflexworld.com, not the guessed duroflex.com (which is unrelated/unused)."
EA Sports,Maximize,,ea-sports,No,,ea.com,Verified,Confirmed official Electronic Arts domain.
EA SPORTS FC 26,Gyftr,ea-sports-fc-26,,No,,ea.com,Verified,Same publisher/domain as EA Sports; game-specific pages live under ea.com.
EA-7- Luxe Gift Card,Gyftr,ea-7--luxe-gift-card,,No,,ea7.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
EaseMyTrip,Maximize,,easemytrip,No,,easemytrip.com,Verified,Confirmed official India travel booking domain.
EaseMyTrip Holiday,Gyftr+Maximize,easemytrip-holiday,easemytrip-holiday,No,,easemytrip.com,Verified,"Holiday packages are a section of the main EaseMyTrip site, no separate domain."
EaseMyTrip Hotel,Maximize,,easemytrip-hotel,No,,easemytrip.com,Verified,Hotel booking is a section of the main EaseMyTrip site (easemytrip.com/hotels/).
EasyBuy,Gyftr,easybuy,,No,,easybuy.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
EatSure,Gyftr+Maximize,eatsure,eatsure,No,,eatsure.com,Verified,Confirmed official Rebel Foods food delivery domain.
EazyDiner,Gyftr,eazydiner,,No,,eazydiner.com,Verified,Confirmed official restaurant reservation domain.
Electricity Bill Payment,Gyftr,electricity-bill-payment,,No,,,N/A,"Generic utility-bill-payment category, not a single brand storefront."
Elivaas,Gyftr+Maximize,elivaas,elivaas,No,,elivaas.com,Verified,Confirmed official luxury villa rental domain.
Elleven,Gyftr+Maximize,elleven,elleven,No,,elleven.in,Medium,
Elver,Maximize,,elver,No,,elver.in,Verified,Confirmed official India audio-electronics brand domain (elver.in); note elverperfume.in is an unrelated different brand.
Emporio Armani- Luxe Gift Card,Gyftr,luxe-gift-card-emporio-armani,,No,,armani.com,Medium,
Estele,Gyftr+Maximize,estele,estele,No,,estele.co,Verified,"Actual official domain is estele.co (fashion jewellery since 1989), not the guessed estele.in."
Estuary World,Maximize,,estuary-world,No,,estuaryworld.co.in,Verified,"Estuaries Industries Private Limited (India, Ahmedabad, Gujarat) runs both estuaryworld.com (global) and estuaryworld.co.in (India landing page); India-specific domain preferred per instructions."
Euphoria Diamond,Maximize,,euphoria-diamond,No,,euphoriajewellery.in,Verified,"Site confirmed live, sells BIS-certified diamond jewellery (earrings, pendants, rings) alongside gold/silver coins; matches Euphoria Jewellery brand sold on Myntra/Flipkart/Amazon."
Euphoria Gold Coin,Maximize,,euphoria-gold-coin,No,,euphoriajewellery.in,Verified,Same site confirmed live and selling 999/916 BIS-certified gold coins/bullion directly.
Euphoria Jewellery Gold Coin,Gyftr,euphoria-jewellery-gold-coin,,No,,euphoriajewellery.in,Verified,Same site confirmed live and selling 999/916 BIS-certified gold coins/bullion directly.
Euphoria Jewellery Silver Coin,Gyftr+Maximize,euphoria-jewellery-silver-coin,euphoria-jewellery-silver-coin,No,,euphoriajewellery.in,Verified,SBI YONO's official Euphoria Jewellery Silver Coin e-gift voucher page links directly to euphoriajewellery.in-associated brand.
ExitLag,Gyftr,exitlag,,No,,exitlag.com,Verified,Confirmed official gaming latency-reduction tool domain.
Faasos,Gyftr+Maximize,faasos,faasos,No,,faasos.com,Verified,Confirmed official domain; Faasos is a Rebel Foods brand but retains its own site distinct from EatSure.
Fab Hotels,Gyftr,fab-hotels,,No,,fabhotels.com,Verified,Confirmed official budget hotel booking domain.
Fashion Factory,Gyftr+Maximize,fashion-factory,fashion-factory,No,,fashionfactory.in,Medium,
Fastag Recharge,Gyftr,fastag-recharge,,No,,,N/A,"Generic utility/category (toll tag recharge), not a single-brand storefront."
Fastrack,Gyftr+Maximize,fastrack,fastrack,No,,fastrack.com,Medium,
Fastrack Bags,Gyftr+Maximize,fastrack-bags,fastrack-bags,No,,fastrack.com,Medium,
Fastrack SmartWatch,Maximize,,fastrack-smartwatch,No,,fastrack.com,Medium,
Fastrack Smartwatches,Gyftr,fastrack-smartwatches,,No,,fastrack.com,Medium,
Femmella,Gyftr+Maximize,femmella,femmella,No,,femmella.com,Verified,"Actual official domain is femmella.com, not the guessed femmella.in."
Ferns N Petals,Gyftr+Maximize,ferns-n-petals,ferns-n-petals,No,,fnp.com,Verified,Confirmed official gifting/flowers domain (brand now styled as FNP).
FERRAGAMO- Luxe Gift Card,Gyftr,ferragamo,,No,,ferragamo.com,Medium,
FirstCry,Gyftr+Maximize,firstcry,firstcry,No,,firstcry.com,Verified,Confirmed official baby/kids products domain.
FITPASS,Gyftr+Maximize,fitpass,fitpass,No,,fitpass.co.in,Verified,Confirmed official India fitness membership domain.
FlixBus,Maximize,,flixbus,No,,flixbus.in,Verified,India-specific domain confirmed; global brand site is flixbus.com.
Flower Aura,Gyftr+Maximize,flower-aura,flower-aura,No,,floweraura.com,Verified,"Site header identifies it as 'FlowerAura #1 Florist for Flowers, Cakes, Plants & Gifts in India'; footer shows FA Gifts Pvt Ltd, delivers to 800+ Indian cities."
Forever New,Maximize,,forever-new,No,,forevernew.in,Medium,
Forever21,Maximize,,forever21,No,,forever21.com,Medium,
Foxtale,Gyftr+Maximize,foxtale,foxtale,No,,foxtale.in,Verified,Confirmed official India skincare/bodycare domain.
Freecultr,Gyftr+Maximize,freecultr,freecultr,No,,freecultr.com,Verified,Confirmed official innerwear/loungewear D2C domain.
French Accent,Gyftr,french-accent,,No,,getfrenchaccent.com,Verified,"Confirmed India-based accessories brand (backpacks, sunglasses, watches, jewelry); contact address in Bengaluru, Karnataka with Indian phone number."
FreshMenu,Maximize,,freshmenu,No,,freshmenu.com,Verified,Confirmed official food delivery domain.
FRIDO,Gyftr+Maximize,frido,frido,No,,myfrido.com,Verified,Confirmed official ergonomic wellness products domain.
Funcity,Maximize,,funcity,No,,funcity.in,Medium,
FUTURE WORLD - APPLE RESELLER,Gyftr+Maximize,future-world,future-world-apple-reseller,No,,futureworldindia.in,Verified,"Actual official domain is futureworldindia.in (storefront at stores.futureworldindia.in), not the guessed futureworld.in."
Gaana,Gyftr,gaanaplus,,No,,gaana.com,Verified,Confirmed official Indian music streaming domain.
Gas Bill Payment,Gyftr,gas-bill-payment,,No,,,N/A,"Generic utility-bill-payment category, not a single-brand storefront."
GAS-Luxe Gift Card,Gyftr+Maximize,luxe-gift-card-gas,gas-luxe,No,,gasjeans.com,Verified,'GAS' resolves to Italian denim brand GAS Jeans (gasjeans.com); an India-specific gasjeans.in also exists but gasjeans.com is the primary confirmed brand domain.
Giorgio Armani- Luxe Gift Card,Gyftr,giorgio-armani--luxe-gift-card,,No,,armani.com,Medium,
Giva-Gold Jewellery,Gyftr,giva-gold-jewellery,,No,,giva.co,Verified,Confirmed official GIVA jewellery domain (giva.co); note givajewellery.com/givajewelry.com are unrelated look-alike domains.
Giva-Silver Coin,Gyftr+Maximize,giva-silver-coin,giva-silver-coin,No,,giva.co,Verified,Same confirmed GIVA domain.
Giva-Silver Jewellery,Gyftr,giva-silver-jewellery,,No,,giva.co,Verified,Same confirmed GIVA domain.
Glam Studios,Maximize,,glam-studios,No,,glamstudios.co,Medium,
GoIbibo Hotel,Maximize,,goibibo-hotel,No,,goibibo.com,Verified,Confirmed official Goibibo hotel booking domain (MakeMyTrip subsidiary).
GRT Jewellers,Gyftr+Maximize,grt-jewellers,grt-jewellers,No,,grtjewels.com,Medium,
GyFTR PAY,Gyftr,gyftr-pay,,No,,gyftr.com,Verified,GyFTR Pay is a feature of the main GyFTR marketplace at gyftr.com.
H BY HAMLEYS- Luxe Gift Card,Gyftr,h-by-hamleys,,No,,hamleys.in,Medium,
Hamleys-Luxe Gift Card,Gyftr+Maximize,luxe-gift-card-hamleys,hamleys-luxe,No,,hamleys.in,Verified,"India-specific domain confirmed (hamleys.in), not the guessed global hamleys.com."
Hammer,Gyftr+Maximize,hammer,hammer,No,,hammeronline.in,Verified,"Actual official domain is hammeronline.in, not the guessed hammersmartwatch.com."
Haute Sauce,Gyftr,haute-sauce,,No,,,Uncertain,"hautesauceofficial.com belongs to an unrelated US cannabis/hemp retailer, not the India fashion brand sold on Nykaa Fashion/Ajio. Could not locate the Indian brand's own dedicated domain via WebSearch (budget exhausted) or WebFetch fallback (hautesauce.in returned empty/no evidence); brand may only sell through marketplaces without its own site."
Headout,Maximize,,headout,No,,headout.com,Verified,"Confirmed official global travel-experiences domain, strong India presence, no separate India TLD."
Health & Glow,Gyftr,health-and-glow,,No,,healthandglow.in,Medium,
Healthians,Gyftr,healthians,,No,,healthians.com,Verified,Confirmed official at-home diagnostics domain.
HealthKart,Gyftr+Maximize,healthkart,healthkart,No,,healthkart.com,Verified,Confirmed official supplements/fitness domain.
Hidesign,Gyftr+Maximize,hidesign,hidesign,No,,hidesign.com,Verified,"Confirmed official leather goods domain; note hidesignleather.com is a separate, seemingly imitation site."
Himalaya Wellness,Gyftr,himalaya-wellness,,No,,himalayawellness.com,Medium,
Hindustan Times Premium,Gyftr,hindustan-times-premium,,No,,hindustantimes.com,Verified,Confirmed official newspaper domain; premium/ePaper subscription is offered on the same site.
Hoichoi,Gyftr,hoichoi,,No,,hoichoi.tv,Verified,Confirmed official Bengali streaming domain (SVF Entertainment).
Holiday Tribe,Maximize,,holiday-tribe,No,,holidaytribe.com,Medium,
Home Centre,Gyftr,home-centre;home-centre-online,,No,,homecentre.in,Verified,Confirmed official India domain for the Landmark Group home-furnishings retailer.
Homecentre Offline,Maximize,,homecentre-offline,No,,homecentre.in,Medium,
Hoora,Gyftr,hoora,,No,,hoora.in,Verified,"Live site confirmed for Hoora, an automotive care/services ecosystem in India (car wash, detailing products, FASTag, insurance) with shop.hoora.in for e-commerce."
Hopscotch,Maximize,,hopscotch,No,,hopscotch.in,Verified,Confirmed official India kids-fashion domain.
HP Pay,Gyftr+Maximize,hppay,hp-pay,No,,hppay.in,Verified,Dedicated official HP Pay program domain confirmed (parent company site is hindustanpetroleum.com).
Hugo Boss-Luxe Gift Card,Gyftr+Maximize,luxe-gift-card-hugo-boss,hugo-boss-luxe,No,,hugoboss.com,Medium,
Hunkemoller- Luxe Gift Card,Gyftr,hunkemoller--luxe-gift-card,,No,,hunkemoller.in,Verified,India-specific domain confirmed for the lingerie brand (entered India market in 2015).
Hush Puppies,Gyftr+Maximize,hush-puppies,hush-puppies,No,,hushpuppies.in,Medium,
Hush Puppies - Fixed,Maximize,,hush-puppies-fixed,No,,hushpuppies.in,Medium,
Hyperice,Gyftr,hyperice,,No,,hyperice.in,Verified,"India-specific domain confirmed; global site is hyperice.com, and multiple third-party authorized resellers also exist (recoverygear.in, wodarmour.in) but hyperice.in is the brand's own India site."
IGP,Gyftr,igp,,No,,igp.com,Verified,Search confirmed igp.com is the official Indian Gifts Portal e-gifting site (formerly indiangiftsportal.com).
Ikea,Gyftr,ikea,,No,,ikea.com,Verified,"IKEA India operates under ikea.com/in/en/ path on the global ikea.com domain, no separate India-only domain."
Imagine Apple Premium Reseller,Maximize,,imagine-apple-premium-reseller,No,,imaginemarketingindia.com,Medium,
Indian Terrain,Maximize,,indian-terrain,No,,indianterrain.com,Medium,
INDRIYA – Aditya Birla Jewellery,Maximize,,indriya-aditya-birla-jewellery,No,,indriya.com,Medium,
Inglot,Gyftr+Maximize,inglot,inglot,No,,inglot.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
INOX Cinemas - GYFTR,Maximize,,inox-cinemas-gyftr,No,,pvrcinemas.com,Verified,INOX merged with PVR in 2023 to form PVR INOX; ticket booking consolidated at pvrcinemas.com (inoxmovies.com also exists but redirects/duplicates).
